Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
2229,COLLAR,COLLAR,COLLAR,3161,3285,3211,3235,crvd-L,crvd-L,crvd-L,crvd-L,ASL_2008_08_04_scene51-camera1.mov,Lexical Signs,COLLAR
2230,COLLAR,COLLAR,COLLAR,14239,14375,14289,14325,G,G,G,G,ASL_2011_06_08_Brady_scene28-camera1.mov,Lexical Signs,COLLAR
2231,COLLAR,COLLAR,COLLAR,2755,2894,2805,2844,G,G,G,G,ASL_2011_07_22_Brady_scene40-camera1.mov,Lexical Signs,COLLAR
2251,COLOR,COLOR,COLOR,1090,1225,1140,1175,5,,5,,ASL_2008_01_11_scene83-camera1.mov,Lexical Signs,COLOR
2252,COLOR,COLOR,COLOR,302,457,352,407,5,,5,,ASL_2008_05_12a_scene50-camera1.mov,Lexical Signs,COLOR
2253,COLOR,COLOR,COLOR,615,740,665,690,5,,5,,ASL_2008_08_04_scene52-camera1.mov,Lexical Signs,COLOR
2254,COLOR,COLOR,COLOR,15650,15791,15700,15741,5,,5,,ASL_2011_06_08_Brady_scene28-camera1.mov,Lexical Signs,COLOR
2266,COME-ON,COME-ON,COME-ON,1230,1370,1280,1320,B-L,,crvd-B,,ASL_2008_01_11_scene84-camera1.mov,Lexical Signs,COME-ON
2267,COME-ON,COME-ON,COME-ON,3905,4020,3955,3970,5,,crvd-sprd-B,,ASL_2008_05_12a_scene50-camera1.mov,Lexical Signs,COME-ON
2268,COME-ON,COME-ON,COME-ON,3106,3232,3156,3182,5,,crvd-5,,ASL_2008_08_04_scene52-camera1.mov,Lexical Signs,COME-ON
2269,COME-ON,COME-ON,COME-ON,1937,2053,1987,2003,5,,bent-B,,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs,COME-ON
2270,COME-ON,COME-ON,COME-ON,2604,2721,2654,2671,B-L,,bent-B-L,,ASL_2006_10_10_scene5-camera1.mov,Lexical Signs,COME-ON
2293,COMPARE,COMPARE,COMPARE+,2730,2890,2780,2840,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_01_18_scene1-camera1.mov,Lexical Signs,COMPARE
2294,COMPARE,COMPARE,COMPARE+,3285,3430,3335,3380,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_05_12b_scene1-camera1.mov,Lexical Signs,COMPARE
2295,COMPARE,COMPARE,COMPARE+,3481,3611,3531,3561,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2008_08_06_scene1-camera1.mov,Lexical Signs,COMPARE
2296,COMPARE,COMPARE,COMPARE+,5089,5229,5139,5179,crvd-B,crvd-B,crvd-B,crvd-B,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs,COMPARE
2297,COMPETITION,COMPETITION,COMPETITION+,300,442,350,392,A,A,A,A,ASL_2008_01_18_scene2-camera1.mov,Lexical Signs,COMPETITION
2298,COMPETITION,COMPETITION,COMPETITION+,1065,1220,1115,1170,A,A,A,A,ASL_2008_02_29_scene5-camera1.mov,Lexical Signs,COMPETITION
2299,COMPETITION,COMPETITION,COMPETITION+,3730,3865,3780,3815,A,A,A,A,ASL_2008_08_06_scene1-camera1.mov,Lexical Signs,COMPETITION
2300,COMPETITION,COMPETITION,COMPETITION+,1424,1558,1474,1508,10,10,10,10,ASL_2006_10_10_scene22-camera1.mov,Lexical Signs,COMPETITION
2301,COMPETITION,COMPETITION,COMPETITION++,3600,3745,3650,3695,A,10,A,10,ASL_2008_05_12b_scene1-camera1.mov,Lexical Signs,COMPETITION
2302,COMPETITION,COMPETITION,COMPETITION++,5717,5856,5767,5806,A,A,10,10,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs,COMPETITION
2303,COMPETITION,COMPETITION,COMPETITION++,382,518,432,468,10,10,10,10,ASL_2011_07_19_Brady_scene50-camera1.mov,Lexical Signs,COMPETITION
2304,COMPETITION,COMPETITION,COMPETITION++,1344,1501,1394,1451,10,10,10,10,ASL_2007_05_24_scene25-camera1.mov,Lexical Signs,COMPETITION
2314,COMPUTER,COMPUTER,COMPUTER+,806,939,856,889,C,psv,C,psv,ASL_2008_08_06_scene2-camera1.mov,Lexical Signs,COMPUTER
2315,COMPUTER,COMPUTER,COMPUTER++,391,572,441,522,C,B-L,C,B-L,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,COMPUTER
2316,COMPUTER,COMPUTER_2,COMPUTER_2+,761,917,811,867,C,psv,C,psv,ASL_2008_05_12b_scene2-camera1.mov,Lexical Signs,COMPUTER
2317,COMPUTER,COMPUTER_2,COMPUTER_2+,8072,8210,8122,8160,C,A,C,A,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs,COMPUTER
2318,COMPUTER,COMPUTER_2,COMPUTER_2+,165,300,215,250,C,psv,C,psv,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,COMPUTER
2319,COMPUTER,COMPUTER_3,COMPUTER_3+,1385,1535,1435,1485,C,psv,C,psv,ASL_2008_01_18_scene2-camera1.mov,Lexical Signs,COMPUTER
2320,COMPUTER,COMPUTER_4,COMPUTER_4,971,1102,1021,1052,C,psv,C,psv,ASL_2008_01_18_scene2-camera1.mov,Lexical Signs,COMPUTER
2337,CONFIDENT,CONFIDENT,CONFIDENT,3315,3450,3365,3400,5,5,S,S,ASL_2008_01_18_scene2-camera1.mov,Lexical Signs,CONFIDENT
2338,CONFIDENT,CONFIDENT,CONFIDENT,3135,3265,3185,3215,5,5,S,S,ASL_2008_05_12b_scene2-camera1.mov,Lexical Signs,CONFIDENT
2339,CONFIDENT,CONFIDENT,CONFIDENT,4520,4645,4570,4595,crvd-5,crvd-5,A,S,ASL_2008_08_06_scene2-camera1.mov,Lexical Signs,CONFIDENT
2343,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,357,491,407,441,1,1,1,1,ASL_2008_01_18_scene3-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2344,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,87,247,137,197,1,1,1,1,ASL_2010_08_10_Liz_additional_lexicon_signs_scene18-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2345,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,3375,3510,3425,3460,1,1,1,1,ASL_2008_05_12b_scene2-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2346,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,4740,4867,4790,4817,1,1,1,1,ASL_2008_08_06_scene2-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2347,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,13025,13154,13075,13104,1,1,1,1,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2348,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,5591,5710,5641,5660,1,1,1,1,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2349,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,2395,2521,2445,2471,1,1,1,1,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2350,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,420,532,470,482,1,1,1,1,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
2351,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,CONFLICT/INTERSECTION,649,795,699,745,1,1,1,1,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,CONFLICT/INTERSECTION
430,CONFRONT,(A)CONFRONT,(A)CONFRONT,280,395,330,345,A,A,B-L,B-L,ASL_2008_08_06_scene3-camera1.mov,Lexical Signs,CONFRONT
2352,CONFRONT,CONFRONT,CONFRONT,642,770,692,720,bent-B,crvd-flat-B,B-L,B-L,ASL_2008_01_18_scene3-camera1.mov,Lexical Signs,CONFRONT
2353,CONFRONT,CONFRONT,CONFRONT,372,505,422,455,bent-B,B-L,B-L,B-L,ASL_2008_05_12b_scene3-camera1.mov,Lexical Signs,CONFRONT
2354,CONFRONT,CONFRONT,CONFRONT,13958,14087,14008,14037,bent-B,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs,CONFRONT
2365,CONTACT,CONTACT,CONTACT+,1697,1835,1747,1785,25,25,25,25,ASL_2008_01_18_scene4-camera1.mov,Lexical Signs,CONTACT
2366,CONTACT,CONTACT,CONTACT+,1310,1435,1360,1385,25,25,25,25,ASL_2008_08_06_scene4-camera1.mov,Lexical Signs,CONTACT
2367,CONTACT,CONTACT,CONTACT++,3820,3957,3870,3907,25,25,25,25,ASL_2008_05_12b_scene4-camera1.mov,Lexical Signs,CONTACT
2368,CONTACT,CONTACT,CONTACT++,2059,2201,2109,2151,25,25,25,25,ASL_2011_06_08_Brady_scene30-camera1.mov,Lexical Signs,CONTACT
207952,COOK/KITCHEN,COOK/KITCHEN,COOK/KITCHEN,1787,1927,1837,1877,B-L,B-L,B-L,B-L,ASL_2006_10_10_scene15-camera1.mov,Lexical Signs,COOK/KITCHEN
207953,COOK/KITCHEN,COOK/KITCHEN,COOK/KITCHEN,1731,1885,1781,1835,B-L,B-L,B-L,B-L,ASL_2007_05_24_scene18-camera1.mov,Lexical Signs,COOK/KITCHEN
2390,COOK/KITCHEN,COOK/KITCHEN,COOK/KITCHEN+,2665,2815,2715,2765,B-L,B-L,B-L,B-L,ASL_2008_08_06_scene4-camera1.mov,Lexical Signs,COOK/KITCHEN
2391,COOK/KITCHEN,COOK/KITCHEN,COOK/KITCHEN++,4732,4880,4782,4830,B-L,B-L,B-L,B-L,ASL_2008_05_12b_scene4-camera1.mov,Lexical Signs,COOK/KITCHEN
2392,COOK/KITCHEN,COOK/KITCHEN,COOK/KITCHEN++,3862,4000,3912,3950,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene30-camera1.mov,Lexical Signs,COOK/KITCHEN
2399,COOL,COOL,COOL,1186,1347,1236,1297,B-L,B-L,B-L,B-L,ASL_2008_02_15_scene42-camera1.mov,Lexical Signs,COOL
2400,COOL,COOL,COOL,2246,2410,2296,2360,B-L,B-L,B-L,B-L,ASL_2010_08_10_Liz_additional_lexicon_signs_scene26-camera1.mov,Lexical Signs,COOL
2401,COOL,COOL,COOL,4927,5081,4977,5031,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene30-camera1.mov,Lexical Signs,COOL
2402,COOL,COOL,COOL,1482,1634,1532,1584,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene36-camera1.mov,Lexical Signs,COOL
2409,COP,COP,COP+,150,290,200,240,C,,C,,ASL_2008_02_15_scene44-camera1.mov,Lexical Signs,COP
2410,COP,COP,COP+,3955,4081,4005,4031,C,,C,,ASL_2011_06_08_Brady_scene15-camera1.mov,Lexical Signs,COP
2411,COP,COP,COP+,16343,16463,16393,16413,C,,C,,ASL_2011_06_08_Brady_scene26-camera1.mov,Lexical Signs,COP
2412,COP,COP,COP+,3734,3855,3784,3805,C,,C,,ASL_2011_07_19_Brady_scene37-camera1.mov,Lexical Signs,COP
2413,COP,COP,COP+,1818,1947,1868,1897,C,,C,,ASL_2006_10_10_scene21-camera1.mov,Lexical Signs,COP
2415,COP,COP_2,COP_2,3002,3180,3052,3130,sml-C-3,,sml-C-3,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene8-camera1.mov,Lexical Signs,COP
2416,COP,COP_2,COP_2,1082,1213,1132,1163,sml-C-3,,sml-C-3,,ASL_2008_08_04_scene19-camera1.mov,Lexical Signs,COP
207871,COP,COP_2,COP_2,2410,2542,2460,2492,sml-C-3,,sml-C-3,,ASL_2008_08_06_scene15-camera1.mov,Lexical Signs,COP
207872,COP,COP_2,COP_2,480,615,530,565,sml-C-3,,sml-C-3,,ASL_2011_07_22_Brady_scene38-camera1.mov,Lexical Signs,COP
2417,COP,COP_2,COP_2+,1770,1920,1820,1870,sml-C-3,,sml-C-3,,ASL_2008_01_11_scene29-camera1.mov,Lexical Signs,COP
2419,COP,COP_2,COP_2+,1967,2117,2017,2067,sml-C-3,,sml-C-3,,ASL_2007_05_24_scene23-camera1.mov,Lexical Signs,COP
735,COUNTRY,(Y)COUNTRY,(Y)COUNTRY+,2417,2580,2467,2530,Y,A,Y,A,ASL_2008_01_18_scene6-camera1.mov,Lexical Signs,COUNTRY
736,COUNTRY,(Y)COUNTRY,(Y)COUNTRY+,1635,1770,1685,1720,Y,psv,Y,psv,ASL_2008_08_06_scene6-camera1.mov,Lexical Signs,COUNTRY
2470,COUNTRY,COUNTRY,COUNTRY+,2670,2830,2720,2780,B-L,S,B-L,S,ASL_2008_01_18_scene6-camera1.mov,Lexical Signs,COUNTRY
2471,COUNTRY,COUNTRY,COUNTRY+,2016,2165,2066,2115,B-L,S,B-L,S,ASL_2008_05_12b_scene6-camera1.mov,Lexical Signs,COUNTRY
2472,COUNTRY,COUNTRY,COUNTRY+,1865,2000,1915,1950,B-L,psv,B-L,psv,ASL_2008_08_06_scene6-camera1.mov,Lexical Signs,COUNTRY
2473,COUNTRY,COUNTRY,COUNTRY+,1391,1530,1441,1480,B-L,psv,B-L,psv,ASL_2008_08_06_scene47-camera1.mov,Lexical Signs,COUNTRY
2474,COUNTRY,COUNTRY,COUNTRY+,10027,10176,10077,10126,B-L,S,B-L,S,ASL_2011_06_08_Brady_scene30-camera1.mov,Lexical Signs,COUNTRY
2475,COUNTRY,COUNTRY,COUNTRY+,6236,6375,6286,6325,B-L,psv,B-L,psv,ASL_2011_06_14_Brady_scene21-camera1.mov,Lexical Signs,COUNTRY
2476,COUNTRY,COUNTRY,COUNTRY++,1376,1542,1426,1492,B-L,B-L,B-L,B-L,ASL_2008_01_18_scene47-camera1.mov,Lexical Signs,COUNTRY
2477,COURSE,COURSE,COURSE,3175,3302,3225,3252,C,B-L,C,B-L,ASL_2008_01_18_scene6-camera1.mov,Lexical Signs,COURSE
2478,COURSE,COURSE,COURSE,2860,2985,2910,2935,C,B-L,C,B-L,ASL_2008_05_12b_scene6-camera1.mov,Lexical Signs,COURSE
2479,COURSE,COURSE,COURSE,2455,2590,2505,2540,C,B-L,C,B-L,ASL_2008_08_06_scene6-camera1.mov,Lexical Signs,COURSE
2480,COURSE,COURSE,COURSE,10999,11132,11049,11082,C,B-L,C,B-L,ASL_2011_06_08_Brady_scene30-camera1.mov,Lexical Signs,COURSE
2481,COURSE,COURSE,COURSE,1374,1493,1424,1443,C,B-L,C,B-L,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,COURSE
2491,COUSIN,COUSIN,COUSIN,1970,2102,2020,2052,C,,C,,ASL_2008_01_18_scene7-camera1.mov,Lexical Signs,COUSIN
2492,COUSIN,COUSIN,COUSIN,1385,1501,1435,1451,C,,C,,ASL_2008_08_06_scene7-camera1.mov,Lexical Signs,COUSIN
2493,COUSIN,COUSIN,COUSIN,198,316,248,266,crvd-B,,crvd-B,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,COUSIN
2494,COUSIN,COUSIN,COUSIN,1008,1126,1058,1076,C,,C,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,COUSIN
2495,COUSIN,COUSIN_2,COUSIN_2+,786,932,836,882,C,,C,,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,COUSIN
166,COW,(1h)COW,(1h)COW,2250,2371,2300,2321,Y,,Y,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,COW
167,COW,(1h)COW,(1h)COW,990,1116,1040,1066,Y,,Y,,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,COW
168,COW,(1h)COW,(1h)COW,1186,1327,1236,1277,Y,,Y,,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,COW
2501,COW,COW,COW,2665,2790,2715,2740,Y,Y,Y,Y,ASL_2008_01_18_scene7-camera1.mov,Lexical Signs,COW
2502,COW,COW,COW,2595,2725,2645,2675,Y,Y,Y,Y,ASL_2008_05_12b_scene7-camera1.mov,Lexical Signs,COW
2503,COW,COW,COW,2435,2561,2485,2511,Y,Y,Y,Y,ASL_2008_08_06_scene7-camera1.mov,Lexical Signs,COW
2504,CRACK,CRACK,CRACK,3187,3325,3237,3275,B-L,B-L,B-L,B-L,ASL_2008_01_18_scene7-camera1.mov,Lexical Signs,CRACK
2505,CRACK,CRACK,CRACK,3022,3160,3072,3110,B,B-L,B,B-L,ASL_2008_05_12b_scene7-camera1.mov,Lexical Signs,CRACK
2506,CRACK,CRACK,CRACK,4105,4232,4155,4182,B-L,B-L,B-L,B-L,ASL_2008_08_06_scene7-camera1.mov,Lexical Signs,CRACK
2507,CRACK,CRACK,CRACK,2552,2690,2602,2640,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRACK
399,CRAZY,(5)CRAZY,(5)CRAZY+,1443,1614,1493,1564,5,,5,,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,CRAZY
2515,CRAZY,CRAZY,CRAZY+,2690,2845,2740,2795,1,,1,,ASL_2008_01_18_scene8-camera1.mov,Lexical Signs,CRAZY
2516,CRAZY,CRAZY,CRAZY+,1482,1626,1532,1576,1,,1,,ASL_2008_05_12b_scene8-camera1.mov,Lexical Signs,CRAZY
2517,CRAZY,CRAZY,CRAZY+,3935,4072,3985,4022,1,,1,,ASL_2008_08_06_scene8-camera1.mov,Lexical Signs,CRAZY
2518,CRAZY,CRAZY,CRAZY+,4100,4246,4150,4196,1,,1,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRAZY
2519,CRAZY,CRAZY,CRAZY+,1245,1383,1295,1333,1,,1,,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,CRAZY
282,CREATE/PRETEND,(2h)alt.CREATE/PRETEND,(2h)alt.CREATE/PRETEND,1652,1780,1702,1730,4,4,4,4,ASL_2008_05_29b_scene8-camera1.mov,Lexical Signs,CREATE/PRETEND
2524,CREATE/PRETEND,CREATE/PRETEND,CREATE/PRETEND,2311,2450,2361,2400,4,,4,,ASL_2008_02_01_scene34-camera1.mov,Lexical Signs,CREATE/PRETEND
2525,CREATE/PRETEND,CREATE/PRETEND,CREATE/PRETEND,2370,2505,2420,2455,4,,4,,ASL_2008_02_15_scene47-camera1.mov,Lexical Signs,CREATE/PRETEND
2526,CREATE/PRETEND,CREATE/PRETEND,CREATE/PRETEND,1947,2086,1997,2036,4,,4,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene28-camera1.mov,Lexical Signs,CREATE/PRETEND
2527,CREATE/PRETEND,CREATE/PRETEND,CREATE/PRETEND,2182,2305,2232,2255,4,,4,,ASL_2008_08_13_scene28-camera1.mov,Lexical Signs,CREATE/PRETEND
2541,CROWDED,CROWDED,CROWDED,687,835,737,785,5,5,5,5,ASL_2008_05_12b_scene9-camera1.mov,Lexical Signs,CROWDED
2542,CROWDED,CROWDED,CROWDED,8687,8821,8737,8771,5,5,5,5,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CROWDED
207721,CRY,(2h)alt.CRY,(2h)alt.CRY,3696,3847,3746,3797,1,1,X,X,ASL_2008_08_06_scene9-camera1.mov,Lexical Signs,CRY
284,CRY,(2h)alt.CRY,(2h)alt.CRY+,2396,2555,2446,2505,1,1,X,X,ASL_2008_01_18_scene9-camera1.mov,Lexical Signs,CRY
542,CRY,(L)CRY,(L)CRY+,3965,4136,4015,4086,L,L,L-X,L-X,ASL_2008_08_06_scene9-camera1.mov,Lexical Signs,CRY
543,CRY,(L)CRY,(L)CRY++,3005,3147,3055,3097,L,L,10,10,ASL_2008_05_12b_scene9-camera1.mov,Lexical Signs,CRY
2558,CRY,CRY,CRY++,2666,2836,2716,2786,1,1,X,X,ASL_2008_01_18_scene9-camera1.mov,Lexical Signs,CRY
2559,CRY,CRY,CRY++,10383,10530,10433,10480,1,1,X,X,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CRY
2566,CUP,CUP,CUP,2035,2156,2085,2106,C,B-L,C,B-L,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,CUP
2567,CUP,CUP,CUP,2352,2518,2402,2468,C,B-L,C,B-L,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,CUP
2571,CURIOUS,CURIOUS,CURIOUS,1246,1375,1296,1325,F,,F,,ASL_2008_01_18_scene10-camera1.mov,Lexical Signs,CURIOUS
2572,CURIOUS,CURIOUS,CURIOUS,1055,1205,1105,1155,F,,F,,ASL_2008_05_12b_scene10-camera1.mov,Lexical Signs,CURIOUS
2573,CURIOUS,CURIOUS,CURIOUS,1230,1362,1280,1312,F,,F,,ASL_2008_08_06_scene10-camera1.mov,Lexical Signs,CURIOUS
2574,CURIOUS,CURIOUS,CURIOUS,13030,13180,13080,13130,F,,F,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs,CURIOUS
207687,DANGER,DANGER,DANGER,1907,2031,1957,1981,10,10,10,10,ASL_2008_03_28_scene15-camera1.mov,Lexical Signs,DANGER
2638,DANGER,DANGER,DANGER+,2452,2605,2502,2555,10,A,10,A,ASL_2008_01_18_scene11-camera1.mov,Lexical Signs,DANGER
2639,DANGER,DANGER,DANGER+,2837,2970,2887,2920,10,10,10,10,ASL_2008_08_06_scene11-camera1.mov,Lexical Signs,DANGER
2640,DANGER,DANGER,DANGER+,1472,1600,1522,1550,10,10,10,10,ASL_2011_07_19_Brady_scene116-camera1.mov,Lexical Signs,DANGER
2641,DANGER,DANGER,DANGER++,2590,2760,2640,2710,10,10,10,10,ASL_2008_05_12b_scene11-camera1.mov,Lexical Signs,DANGER
2642,DANGER,DANGER,DANGER++,3639,3782,3689,3732,10,10,10,10,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DANGER
2662,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+,1327,1465,1377,1415,D,D,D,D,ASL_2008_01_18_scene12-camera1.mov,Lexical Signs,DATE/DESSERT
2663,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+,1445,1578,1495,1528,D,D,D,D,ASL_2008_01_18_scene15-camera1.mov,Lexical Signs,DATE/DESSERT
2664,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+,1390,1555,1440,1505,D,D,D,D,ASL_2010_08_10_Liz_additional_lexicon_signs_scene12-camera1.mov,Lexical Signs,DATE/DESSERT
2665,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+,1305,1436,1355,1386,D,D,D,D,ASL_2008_08_06_scene12-camera1.mov,Lexical Signs,DATE/DESSERT
2666,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+,1601,1735,1651,1685,D,D,D,D,ASL_2008_08_06_scene15-camera1.mov,Lexical Signs,DATE/DESSERT
2667,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+,7666,7784,7716,7734,D,D,D,D,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DATE/DESSERT
2668,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT++,1710,1855,1760,1805,D,D,D,D,ASL_2008_05_12b_scene12-camera1.mov,Lexical Signs,DATE/DESSERT
2669,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT++,7613,7737,7663,7687,D,D,D,D,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DATE/DESSERT
2670,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT++,7268,7390,7318,7340,D,D,D,D,ASL_2011_06_08_Brady_scene33-camera1.mov,Lexical Signs,DATE/DESSERT
2671,DATE/DESSERT,DATE/DESSERT,DATE/DESSERT+++,1275,1415,1325,1365,D,D,D,D,ASL_2008_05_12b_scene15-camera1.mov,Lexical Signs,DATE/DESSERT
2672,DAUGHTER,DAUGHTER,DAUGHTER,1610,1731,1660,1681,B,A,B,A,ASL_2008_01_18_scene12-camera1.mov,Lexical Signs,DAUGHTER
2673,DAUGHTER,DAUGHTER,DAUGHTER,7822,7937,7872,7887,B,A,B,A,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DAUGHTER
2674,DAUGHTER,DAUGHTER,DAUGHTER,2700,2817,2750,2767,B,S,B,S,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,DAUGHTER
2675,DAUGHTER,DAUGHTER,DAUGHTER,3060,3201,3110,3151,B-xd,B-L,B-xd,B-L,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,DAUGHTER
40117,GIRL+BABY,GIRL+BABY,GIRL+BABY,1978,2110,2028,2060,A,,bent-B-L,bent-B-L,ASL_2008_08_06_scene12-camera1.mov,Compound Signs,DAUGHTER
40118,GIRL+BABY_2,GIRL+BABY_2,GIRL+BABY_2,1836,1968,1886,1918,10,,B-L,A,ASL_2008_01_18_scene12-camera1.mov,Compound Signs,DAUGHTER
40119,GIRL+BABY_2,GIRL+BABY_2,GIRL+BABY_2,1916,2054,1966,2004,10,,B-L,10,ASL_2008_05_12b_scene12-camera1.mov,Compound Signs,DAUGHTER
484,DAY,(D)DAY,(D)DAY,2075,2210,2125,2160,D,D,D,D,ASL_2008_01_18_scene12-camera1.mov,Lexical Signs,DAY
485,DAY,(D)DAY,(D)DAY,8317,8434,8367,8384,D,bent-B,D,bent-B,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DAY
2676,DAY,DAY,DAY,2380,2510,2430,2460,1,psv,1,psv,ASL_2008_05_12b_scene12-camera1.mov,Lexical Signs,DAY
2677,DAY,DAY,DAY,2245,2367,2295,2317,1,psv,1,psv,ASL_2008_08_06_scene12-camera1.mov,Lexical Signs,DAY
2678,DAY,DAY,DAY,1047,1177,1097,1127,1,B-L,1,B-L,ASL_2006_09_26_scene61-camera1.mov,Lexical Signs,DAY
2697,DEAF,DEAF,DEAF,2286,2415,2336,2365,D,,D,,ASL_2008_01_18_scene12-camera1.mov,Lexical Signs,DEAF
2698,DEAF,DEAF,DEAF,2580,2705,2630,2655,1,,1,,ASL_2008_05_12b_scene12-camera1.mov,Lexical Signs,DEAF
2699,DEAF,DEAF,DEAF,2470,2595,2520,2545,1,,1,,ASL_2008_08_06_scene12-camera1.mov,Lexical Signs,DEAF
2700,DEAF,DEAF,DEAF,8539,8665,8589,8615,1,,1,,ASL_2011_06_08_Brady_scene32-camera1.mov,Lexical Signs,DEAF
2701,DEAF,DEAF,DEAF,11513,11633,11563,11583,1,,1,,ASL_2011_06_14_Brady_scene3-camera1.mov,Lexical Signs,DEAF
2702,DEAF,DEAF,DEAF,1900,2017,1950,1967,1,,1,,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,DEAF
2703,DEAF,DEAF,DEAF,2214,2368,2264,2318,1,,1,,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,DEAF
2704,DEAF-APPLAUSE,DEAF-APPLAUSE,DEAF-APPLAUSE,770,901,820,851,5,5,5,5,ASL_2008_01_11_scene16-camera1.mov,Lexical Signs,DEAF-APPLAUSE
2705,DEAF-APPLAUSE,DEAF-APPLAUSE,DEAF-APPLAUSE,2090,2217,2140,2167,5,5,5,5,ASL_2008_05_12a_scene12-camera1.mov,Lexical Signs,DEAF-APPLAUSE
